date,price,index
2021-12-27,1269,1
2021-12-28,1277,2
2021-12-29,1297,3
2021-12-30,1249,4
2021-12-31,1254,5
2022-01-03,1235,6
2022-01-04,1237,7
2022-01-05,1258,8
2022-01-06,1516,9
2022-01-07,1549,10
2022-01-10,1576,11
2022-01-11,1570,12
2022-01-12,1591,13
2022-01-13,1611,14
2022-01-14,1619,15
2022-01-17,1645,16
2022-01-18,1754,17
2022-01-19,1771,18
2022-01-20,1918,19
2022-01-21,1950,20
2022-01-24,2007,21
2022-01-25,2010,22
2022-01-26,2019,23
2022-01-27,2125,24
2022-01-28,2128,25
2022-02-03,2183,26
2022-02-04,2179,27
2022-02-07,2153,28
2022-02-08,2156,29
2022-02-09,2147,30
2022-02-10,1775,31
2022-02-11,1745,32
2022-02-14,1740,33
2022-02-15,1735,34
2022-02-16,1729,35
2022-02-17,1669,36
2022-02-18,1661,37
2022-02-21,1646,38
2022-02-22,1636,39
2022-02-23,1636,40
2022-02-24,1598,41
2022-02-25,1587,42
2022-02-28,1580,43
2022-03-02,1580,44
2022-03-03,1494,45
2022-03-04,1495,46
2022-03-07,1488,47
2022-03-08,1490,48
2022-03-10,1493,49
2022-03-11,1488,50
2022-03-14,1483,51
2022-03-15,1481,52
2022-03-16,1454,53
2022-03-17,1282,54
2022-03-18,1288,55
2022-03-21,1290,56
2022-03-22,1273,57
2022-03-23,1271,58
2022-03-24,1270,59
2022-03-25,1268,60
2022-03-28,1271,61
2022-03-29,1265,62
2022-03-30,1259,63
2022-03-31,1315,64
2022-04-01,1314,65
2022-04-04,1313,66
2022-04-05,1313,67
2022-04-06,1312,68
2022-04-07,1425,69
2022-04-08,1423,70
2022-04-11,1422,71
2022-04-12,1422,72
2022-04-13,1419,73
2022-04-14,1395,74
2022-04-15,1395,75
2022-04-18,1394,76
2022-04-19,1403,77
2022-04-20,1404,78
2022-04-21,1274,79
2022-04-22,1276,80
2022-04-25,1270,81
2022-04-26,1272,82
2022-04-27,1272,83
2022-04-28,1339,84
2022-04-29,1336,85
2022-05-02,1339,86
2022-05-03,1339,87
2022-05-04,1339,88
2022-05-06,1281,89
2022-05-09,1278,90
2022-05-10,1278,91
2022-05-11,1276,92
2022-05-12,1194,93
2022-05-13,1189,94
2022-05-16,1187,95
2022-05-17,1186,96
2022-05-18,1186,97
2022-05-19,1169,98
2022-05-20,1177,99
2022-05-23,1180,100
2022-05-24,1181,101
2022-05-25,1176,102
2022-05-26,1176,103
2022-05-27,1173,104
2022-05-30,1168,105
2022-05-31,1175,106
2022-06-02,1154,107
2022-06-03,1155,108
2022-06-07,1153,109
2022-06-08,1143,110
2022-06-09,1116,111
2022-06-10,1116,112
2022-06-13,1115,113
2022-06-14,1113,114
2022-06-15,1111,115
2022-06-16,1090,116
2022-06-17,1081,117
2022-06-20,1071,118
2022-06-21,1079,119
2022-06-22,1070,120
2022-06-23,1199,121
2022-06-24,1206,122
2022-06-27,1206,123
2022-06-28,1210,124
2022-06-29,1212,125
2022-06-30,1245,126
2022-07-01,1246,127
2022-07-04,1246,128
2022-07-05,1246,129
2022-07-06,1246,130
2022-07-07,1246,131
2022-07-08,1250,132
2022-07-11,1251,133
2022-07-12,1254,134
2022-07-13,1255,135
2022-07-14,1244,136
2022-07-15,1242,137
2022-07-18,1228,138
2022-07-19,1225,139
2022-07-20,1216,140
2022-07-21,1142,141
2022-07-22,1141,142
2022-07-25,1135,143
2022-07-26,1203,144
2022-07-27,1199,145
2022-07-28,1146,146
2022-07-29,1145,147
2022-08-01,1144,148
2022-08-02,1135,149
2022-08-03,1127,150
2022-08-04,1041,151
2022-08-05,1050,152
2022-08-08,1050,153
2022-08-09,1042,154
2022-08-10,1038,155
2022-08-11,1061,156
2022-08-12,1061,157
2022-08-16,1065,158
2022-08-17,1069,159
2022-08-18,1108,160
2022-08-19,1110,161
2022-08-22,1111,162
2022-08-23,1172,163
2022-08-24,1173,164
2022-08-25,1159,165
2022-08-26,1166,166
2022-08-29,1171,167
2022-08-30,1171,168
2022-08-31,1178,169
2022-09-01,1391,170
2022-09-02,1402,171
2022-09-05,1429,172
2022-09-06,1567,173
2022-09-07,1620,174
2022-09-08,1611,175
2022-09-13,1626,176
2022-09-14,1617,177
2022-09-15,1647,178
2022-09-16,1679,179
2022-09-19,1679,180
2022-09-20,1670,181
2022-09-21,1670,182
2022-09-22,1467,183
2022-09-23,1452,184
2022-09-26,1423,185
2022-09-27,1433,186
2022-09-28,1431,187
2022-09-29,1275,188
2022-09-30,1262,189
2022-10-04,1243,190
2022-10-05,1232,191
2022-10-06,1115,192
2022-10-07,1093,193
2022-10-11,1078,194
2022-10-12,1066,195
2022-10-13,987,196
2022-10-14,992,197
2022-10-17,977,198
2022-10-18,983,199
2022-10-19,983,200
2022-10-20,1037,201
2022-10-21,1020,202
2022-10-24,1039,203
2022-10-25,1038,204
2022-10-26,1037,205
2022-10-27,1160,206
2022-10-28,1162,207
2022-10-31,1163,208
2022-11-01,1171,209
2022-11-02,1167,210
2022-11-03,1160,211
2022-11-04,1113,212
2022-11-07,1106,213
2022-11-08,1106,214
2022-11-09,1102,215
2022-11-10,1101,216
2022-11-11,1098,217
2022-11-14,1100,218
2022-11-15,1099,219
2022-11-16,1099,220
2022-11-17,1087,221
2022-11-18,1087,222
2022-11-21,1087,223
2022-11-22,1079,224
2022-11-23,1077,225
2022-11-24,1018,226
2022-11-25,1014,227
2022-11-28,1014,228
2022-11-29,1014,229
2022-11-30,982,230
2022-12-01,861,231
2022-12-05,866,232
2022-12-06,866,233
2022-12-07,870,234
2022-12-08,914,235
2022-12-09,914,236
2022-12-12,915,237
2022-12-13,912,238
2022-12-14,918,239
2022-12-15,913,240
2022-12-16,914,241
2022-12-19,918,242
2022-12-20,924,243
2022-12-21,941,244
2022-12-22,1049,245
2022-12-23,1069,246
